BS_parsed.txt
zi	Preinitial1	Preinitial 2	Obstruent contact	Initial	A/B type	Medial	Nucleus	Final	Postcoda *-ʔ	Postcoda *-s		Source	
長	Cə-	N- 		t		r 	a 	ŋ 	 			B&SOC2015-10-13	
場	 			l		r 	a 	ŋ 	 			B&SOC2015-10-13	
腸	 			l		r 	a 	ŋ 	 			B&SOC2015-10-13	
嘗	Cə-			d		 	a 	ŋ 	 			B&SOC2015-10-13	
常	 			d		 	a 	ŋ 	 			B&SOC2015-10-13	
裳	 			d		 	a 	ŋ 	 			B&SOC2015-10-13	
惝	 			tʰ		 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
敞	 			tʰ		 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
鬯	 			tʰ		r 	a 	ŋ 		s 		B&SOC2015-10-13	
悵	 			tʰ		r 	a 	ŋ 		s 		B&SOC2015-10-13	
倡	mə-			tʰ		 	a 	ŋ 		s 		B&SOC2015-10-13	
唱	mə-			tʰ		 	a 	ŋ 		s 		B&SOC2015-10-13	
超	 			tʰ		r 	a	w 	 			B&SOC2015-10-13	
潮	N- 			t		r 	a	w 	 			B&SOC2015-10-13	
朝	m- 			t		r 	a	w 	 			B&SOC2015-10-13	
巢	 			dz	ˤ	r 	a	w 	 			B&SOC2015-10-13	
炒	 			tsʰ	ˤ	r 	e	w 	ʔ 			B&SOC2015-10-13	
車	t- 			qʰ		r 	A 	 	 			B&SOC2015-10-13	
澈	 			d		r 	e 	t 	 			B&SOC2015-10-13	
徹	m- 			tʰ		r 	e 	t 	 			B&SOC2015-10-13	
撤	m- 			tʰ		r 	e 	t 	 			B&SOC2015-10-13	
坼	Nə-			qʰ	ˤ	r 	a 	k 	 			B&SOC2015-10-13	
撤	 			tʰ		r 	e 	t 	 			B&SOC2015-10-13	
徹	 			tʰ		r 	e 	t 	 			B&SOC2015-10-13	
瞋	 			tʰ		 	i 	n 	 			B&SOC2015-10-13	
沈	C- 			d		r 	ə 	m 	 			B&SOC2015-10-13	
沈	 			d		r 	ə 	m 	 			B&SOC2015-10-13	
沈	 			d		r 	ə 	m 		s 		B&SOC2015-10-13	
塵	 			d		r 	ə 	n 	 			B&SOC2015-10-13	
陳	 			l		r 	i 	n 	 			B&SOC2015-10-13	
煁	 			d		 	ə 	m 	 			B&SOC2015-10-13	
忱	t- 			ɢ		 	u 	m 	 			B&SOC2015-10-13	
諶	t- 			ɢ		 	u 	m 	 			B&SOC2015-10-13	
辰	 			d		 	ə 	r 	 			B&SOC2015-10-13	
晨	 			d		 	ə 	r 	 			B&SOC2015-10-13	
臣	 			g		 	i 	ŋ 	 			B&SOC2015-10-13	
晨	sə-			d		 	ə 	r 	 			B&SOC2015-10-13	
瞠	 			tʰ	ˤ	r 	a 	ŋ 	 			B&SOC2015-10-13	
赬	t- 			kʰ		r 	e 	ŋ 	 			B&SOC2015-10-13	
